location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
BSP,MIR,SSW,DRY,DAY,BUS,MODERATE,FINE,1,ROA
RAD,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,OSR,N2T,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
RAD,FRNT,HON,DRY,DAY,MULTI,LIGHT,FINE,5,CARS TRUCKS
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,3,EMP
RAD,OSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,3,EMP
BSP,NSR,REVERSING,DRY,DAY,SINGLE,NO,FINE,1,ROA
BSP,NSF,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
BSP,OSR,TAI,DRY,DAY,BUS,MODERATE,FINE,4,EMP
RAD,NSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,1,OTH
BSP,NSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,4,CARS TRUCKS
RAD,NSM,BTMO,SLIP,DAY,SINGLE,NO,FOG,4,EMP
RAD,OSR,SSW,WET,DAY,MULTI,LIGHT,RAIN,1,ROA
RAD,MIR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,1,EMP
BSP,NSM,SSW,DRY,DAY,BUS,LIGHT,FINE,1,BUS - OTHER
RAD,NSR,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,4,EMP
BSP,NSF,SSW,DRY,DAWN,SINGLE,LIGHT,FINE,1,ROA
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,3,EMP
RAD,FRNT,N2T,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RAD,OSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,5,CARS TRUCKS
RAD,NSM,SSW,DRY,DUSK,MULTI,MODERATE,FINE,4,EMP
RAD,OSM,SSW,WET,DAY,SINGLE,NO,FINE,4,EMP
RAD,FRNT,N2T,WET,DUSK,MULTI,LIGHT,RAIN,4,CARS TRUCKS
TIN,FRNT,SSW,DRY,DAY,MULTI,LIGHT,FINE,1,ROA
RAD,NSF,SSW,DRY,DAY,MULTI,MODERATE,FINE,0,CYC
BSP,REAR,SSW,WET,DAY,SINGLE,NO,RAIN,4,EMP
DEPOT,WIN,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,POW
RAD,NSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,BUS - OTHER
RAD,REAR,TAI,DRY,NIGHT,SINGLE,HEAVY,FINE,4,EMP
BSP,NSF,SSW,DRY,DAY,MULTI,MODERATE,FINE,5,ROA
BSP,NSF,SSW,DRY,NIGHT,MULTI,LIGHT,FINE,0,PAS
BSP,FRNT,N2T,DRY,DAY,BUS,NO,FINE,4,EMP
XRD,OSR,SSW,DRY,DUSK,MULTI,HEAVY,FINE,1,ROA
TIN,OSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSM,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,NSR,SSW,WET,DUSK,MULTI,MODERATE,RAIN,1,ROA
BSP,NSM,SSW,DRY,STREET,MULTI,LIGHT,FINE,4,EMP
RAD,NSF,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
BSP,NSR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,4,EMP
BSP,OSR,HON,DRY,DAY,BUS,NO,FINE,1,CARS TRUCKS
RAD,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
TIN,WSRE,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,EMP
RAD,OSM,SSW,DRY,DAWN,SINGLE,LIGHT,FINE,4,EMP
BSP,NSR,SSW,DRY,DAWN,SINGLE,NO,FINE,4,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RAD,NSR,HON,DRY,DAY,SINGLE,LIGHT,FINE,4,BUS - OTHER
BSP,NSF,HON,DRY,DAY,SINGLE,LIGHT,FINE,4,BUS - OTHER
BSP,FRNT,HON,DRY,DAY,MULTI,LIGHT,FINE,0,ENV
RAD,OSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,3,EMP
BSP,MIR,SSW,DRY,DAWN,SINGLE,MODERATE,FINE,4,EMP
XRD,NSM,SSW,DRY,DUSK,SINGLE,LIGHT,FINE,4,EMP
RAD,FRNT,BTMO,WET,DAY,SINGLE,MODERATE,RAIN,4,EMP
BSP,OSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,EMP
RAD,NSF,HON,DRY,DAY,MULTI,LIGHT,FINE,5,EMP
RBT,NSR,SSW,WET,DUSK,SINGLE,NO,RAIN,4,EMP
RAD,NSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
RAD,OSR,N2T,DRY,DAY,MULTI,MODERATE,FINE,1,ROA
BSP,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,5,CARS TRUCKS
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,PL&EQ
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,CARS TRUCKS
RAD,FRNT,N2T,DRY,DAY,FREE,HEAVY,FINE,4,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
